ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.NumeroTelefone;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.OrdemPublicacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.IndicadorFax;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.MembroMesa;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.MembroLideranca;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.CodigoMandato;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.UfParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.CodigoExercicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataLeitura
5976;826;Eduardo Girão;Luis Eduardo Grangeiro Girão;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976;;sen.eduardogirao@senado.leg.br;33036678;2;Não;PODEMOS;CE;Não;Sim;;;;;;;;;;;;;;;;;;;;;
5976;826;Eduardo Girão;Luis Eduardo Grangeiro Girão;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976;;sen.eduardogirao@senado.leg.br;33036679;3;Não;PODEMOS;CE;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;557;CE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;557;CE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;557;CE;;;;;;;Titular;;;;1º Suplente;5974;Sargento Reginaldo;;;;;;
;;;;;;;;;;;;;;;;;557;CE;;;;;;;Titular;;;;2º Suplente;5975;Dr. Guimarães;;;;;;
;;;;;;;;;;;;;;;;;557;CE;;;;;;;Titular;;;;;;;2920;2019-02-01;;;;
3777;872;Eduardo Gomes;Carlos Eduardo Torres Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777;;sen.eduardogomes@senado.leg.br;33036349;1;Não;MDB;TO;Não;Sim;;;;;;;;;;;;;;;;;;;;;
3777;872;Eduardo Gomes;Carlos Eduardo Torres Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777;;sen.eduardogomes@senado.leg.br;33036352;2;Não;MDB;TO;Não;Sim;;;;;;;;;;;;;;;;;;;;;
3777;872;Eduardo Gomes;Carlos Eduardo Torres Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777;;sen.eduardogomes@senado.leg.br;33036354;3;Sim;MDB;TO;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;568;TO;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;568;TO;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;568;TO;;;;;;;Titular;;;;1º Suplente;6005;Siqueira Campos;;;;;;
;;;;;;;;;;;;;;;;;568;TO;;;;;;;Titular;;;;2º Suplente;6006;Ogari Pacheco;;;;;;
;;;;;;;;;;;;;;;;;568;TO;;;;;;;Titular;;;;;;;2947;2019-08-15;;;;2019-08-15
;;;;;;;;;;;;;;;;;568;TO;;;;;;;Titular;;;;;;;2894;2019-02-01;2019-07-12;AFO;Afastamento do exercício;2019-07-12
5898;936;Eliane Nogueira;Eliane e Silva Nogueira Lima;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5898.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5898;;sen.elianenogueira@senado.leg.br;33036187;1;Não;PP;PI;Não;Não;;;;;;;;;;;;;;;;;;;;;
5898;936;Eliane Nogueira;Eliane e Silva Nogueira Lima;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5898.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5898;;sen.elianenogueira@senado.leg.br;33036188;2;Não;PP;PI;Não;Não;;;;;;;;;;;;;;;;;;;;;
5898;936;Eliane Nogueira;Eliane e Silva Nogueira Lima;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5898.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5898;;sen.elianenogueira@senado.leg.br;33036192;3;Não;PP;PI;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;524;PI;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;524;PI;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;524;PI;;;;;;;1º Suplente;Titular;739;Ciro Nogueira;;;;;;;;;
;;;;;;;;;;;;;;;;;524;PI;;;;;;;1º Suplente;;;;2º Suplente;5900;Gil Paraibano;;;;;;
;;;;;;;;;;;;;;;;;524;PI;;;;;;;1º Suplente;;;;;;;2968;2021-07-28;;;;
5718;806;Eliziane Gama;Eliziane Pereira Gama Melo;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718;;sen.elizianegama@senado.leg.br;33036741;1;Não;CIDADANIA;MA;Sim;Sim;;;;;;;;;;;;;;;;;;;;;
5718;806;Eliziane Gama;Eliziane Pereira Gama Melo;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718;;sen.elizianegama@senado.leg.br;33036703;2;Não;CIDADANIA;MA;Sim;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;542;MA;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;542;MA;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;542;MA;;;;;;;Titular;;;;1º Suplente;674;Pedro Fernandes;;;;;;
;;;;;;;;;;;;;;;;;542;MA;;;;;;;Titular;;;;2º Suplente;4979;Bene Camacho;;;;;;
;;;;;;;;;;;;;;;;;542;MA;;;;;;;Titular;;;;;;;2900;2019-02-01;;;;
5531;810;Elmano Férrer;Elmano Férrer de Almeida;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5531;;sen.elmanoferrer@senado.leg.br;33032415;1;Não;PP;PI;Sim;Sim;;;;;;;;;;;;;;;;;;;;;
5531;810;Elmano Férrer;Elmano Férrer de Almeida;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5531;;sen.elmanoferrer@senado.leg.br;33033055;2;Não;PP;PI;Sim;Sim;;;;;;;;;;;;;;;;;;;;;
5531;810;Elmano Férrer;Elmano Férrer de Almeida;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5531;;sen.elmanoferrer@senado.leg.br;33031015;3;Não;PP;PI;Sim;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;496;PI;55;2015-02-01;2019-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;496;PI;;;;56;2019-02-01;2023-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;496;PI;;;;;;;Titular;;;;1º Suplente;5849;José Amauri;;;;;;
;;;;;;;;;;;;;;;;;496;PI;;;;;;;Titular;;;;2º Suplente;5607;Alzenir Porto;;;;;;
;;;;;;;;;;;;;;;;;496;PI;;;;;;;Titular;;;;;;;2874;2018-11-08;;;;
;;;;;;;;;;;;;;;;;496;PI;;;;;;;Titular;;;;;;;2734;2015-02-01;2018-07-09;LSP;Licença Saúde-Particular;
22;882;Esperidião Amin;Esperidião Amin Helou Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/22;;sen.esperidiaoamin@senado.leg.br;33036446;1;Não;PP;SC;Não;Não;;;;;;;;;;;;;;;;;;;;;
22;882;Esperidião Amin;Esperidião Amin Helou Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/22;;sen.esperidiaoamin@senado.leg.br;33036447;2;Não;PP;SC;Não;Não;;;;;;;;;;;;;;;;;;;;;
22;882;Esperidião Amin;Esperidião Amin Helou Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/22;;sen.esperidiaoamin@senado.leg.br;33036454;3;Não;PP;SC;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;572;SC;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;572;SC;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;572;SC;;;;;;;Titular;;;;1º Suplente;196;Geraldo Althoff;;;;;;
;;;;;;;;;;;;;;;;;572;SC;;;;;;;Titular;;;;2º Suplente;6012;Denise dos Santos;;;;;;
;;;;;;;;;;;;;;;;;572;SC;;;;;;;Titular;;;;;;;2901;2019-02-01;;;;
5953;835;Fabiano Contarato;Fabiano Contarato;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953;;sen.fabianocontarato@senado.leg.br;33039049;1;Não;PT;ES;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;548;ES;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;548;ES;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;548;ES;;;;;;;Titular;;;;1º Suplente;5950;Ana Paula Tongo;;;;;;
;;;;;;;;;;;;;;;;;548;ES;;;;;;;Titular;;;;2º Suplente;5952;Bento;;;;;;
;;;;;;;;;;;;;;;;;548;ES;;;;;;;Titular;;;;;;;2902;2019-02-01;;;;
5540;822;Fernando Bezerra Coelho;Fernando Bezerra de Souza Coelho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5540;https://www.facebook.com/fernando.bezerracoelho?fref=ts;sen.fernandobezerracoelho@senado.leg.br;33032182;1;Não;MDB;PE;Não;Não;;;;;;;;;;;;;;;;;;;;;
5540;822;Fernando Bezerra Coelho;Fernando Bezerra de Souza Coelho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5540;https://www.facebook.com/fernando.bezerracoelho?fref=ts;sen.fernandobezerracoelho@senado.leg.br;33034084;2;Não;MDB;PE;Não;Não;;;;;;;;;;;;;;;;;;;;;
5540;822;Fernando Bezerra Coelho;Fernando Bezerra de Souza Coelho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5540;https://www.facebook.com/fernando.bezerracoelho?fref=ts;sen.fernandobezerracoelho@senado.leg.br;33032189;3;Sim;MDB;PE;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;519;PE;55;2015-02-01;2019-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;519;PE;;;;56;2019-02-01;2023-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;519;PE;;;;;;;Titular;;;;1º Suplente;5603;Carlos Augusto Costa;;;;;;
;;;;;;;;;;;;;;;;;519;PE;;;;;;;Titular;;;;2º Suplente;5605;Eliane Rodrigues;;;;;;
;;;;;;;;;;;;;;;;;519;PE;;;;;;;Titular;;;;;;;2736;2015-02-01;;;;
4525;927;Fernando Collor;Fernando Affonso Collor de Mello;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525;http://www.fernandocollor.com.br/;Sen.fernandocollor@senado.leg.br;33035783;1;Não;PROS;AL;Não;Não;;;;;;;;;;;;;;;;;;;;;
4525;927;Fernando Collor;Fernando Affonso Collor de Mello;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525;http://www.fernandocollor.com.br/;Sen.fernandocollor@senado.leg.br;33035789;2;Sim;PROS;AL;Não;Não;;;;;;;;;;;;;;;;;;;;;
4525;927;Fernando Collor;Fernando Affonso Collor de Mello;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525;http://www.fernandocollor.com.br/;Sen.fernandocollor@senado.leg.br;33035787;3;Não;PROS;AL;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;511;AL;55;2015-02-01;2019-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;511;AL;;;;56;2019-02-01;2023-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;511;AL;;;;;;;Titular;;;;1º Suplente;5561;Renilde Bulhões;;;;;;
;;;;;;;;;;;;;;;;;511;AL;;;;;;;Titular;;;;2º Suplente;5563;Severino Leão;;;;;;
;;;;;;;;;;;;;;;;;511;AL;;;;;;;Titular;;;;;;;2946;2019-08-01;;;;
;;;;;;;;;;;;;;;;;511;AL;;;;;;;Titular;;;;;;;2756;2015-02-01;2019-04-01;LSP;Licença Saúde-Particular;2019-04-02
345;856;Flávio Arns;Flávio José Arns;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/345;http://www.flavioarns.com.br;sen.flavioarns@senado.leg.br;33036301;1;Não;PODEMOS;PR;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;540;PR;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;540;PR;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;540;PR;;;;;;;Titular;;;;1º Suplente;5919;Vilson Basso;;;;;;
;;;;;;;;;;;;;;;;;540;PR;;;;;;;Titular;;;;2º Suplente;5920;Flavio Vicente;;;;;;
;;;;;;;;;;;;;;;;;540;PR;;;;;;;Titular;;;;;;;2903;2019-02-01;;;;
5894;841;Flávio Bolsonaro;Flávio Nantes Bolsonaro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894;;sen.flaviobolsonaro@senado.leg.br;33031717;1;Não;PL;RJ;Não;Não;;;;;;;;;;;;;;;;;;;;;
5894;841;Flávio Bolsonaro;Flávio Nantes Bolsonaro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894;;sen.flaviobolsonaro@senado.leg.br;33031718;2;Não;PL;RJ;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;532;RJ;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;532;RJ;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;532;RJ;;;;;;;Titular;;;;1º Suplente;5901;Paulo Marinho;;;;;;
;;;;;;;;;;;;;;;;;532;RJ;;;;;;;Titular;;;;2º Suplente;5903;Leonardo Rodrigues;;;;;;
;;;;;;;;;;;;;;;;;532;RJ;;;;;;;Titular;;;;;;;2904;2019-02-01;;;;
6008;935;Giordano;Alexandre Luiz Giordano;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6008;;sen.giordano@senado.leg.br;33034177;1;Não;MDB;SP;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;570;SP;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;570;SP;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;570;SP;;;;;;;1º Suplente;Titular;5666;Major Olimpio;;;;;;;;;
;;;;;;;;;;;;;;;;;570;SP;;;;;;;1º Suplente;;;;2º Suplente;6009;Astronauta Marcos Pontes;;;;;;
;;;;;;;;;;;;;;;;;570;SP;;;;;;;1º Suplente;;;;;;;2966;2021-03-31;;;;
5008;824;Humberto Costa;Humberto Sérgio Costa Lima;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008;http://www.senadorhumberto.com.br/;sen.humbertocosta@senado.leg.br;33036285;1;Não;PT;PE;Não;Não;;;;;;;;;;;;;;;;;;;;;
5008;824;Humberto Costa;Humberto Sérgio Costa Lima;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008;http://www.senadorhumberto.com.br/;sen.humbertocosta@senado.leg.br;33036286;2;Não;PT;PE;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;525;PE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;525;PE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;525;PE;;;;;;;Titular;;;;1º Suplente;5914;Waldemar Oliveira;;;;;;
;;;;;;;;;;;;;;;;;525;PE;;;;;;;Titular;;;;2º Suplente;5915;Marcia do Angico;;;;;;
;;;;;;;;;;;;;;;;;525;PE;;;;;;;Titular;;;;;;;2907;2019-02-01;;;;
5385;883;Irajá;Irajá Silvestre Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385;;sen.iraja@senado.leg.br;33036469;2;Não;PSD;TO;Sim;Não;;;;;;;;;;;;;;;;;;;;;
5385;883;Irajá;Irajá Silvestre Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385;;sen.iraja@senado.leg.br;33036474;3;Sim;PSD;TO;Sim;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;567;TO;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;567;TO;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;567;TO;;;;;;;Titular;;;;1º Suplente;6287;Marcos de Souza Costa;;;;;;
;;;;;;;;;;;;;;;;;567;TO;;;;;;;Titular;;;;2º Suplente;6004;Terciliano Gomes;;;;;;
;;;;;;;;;;;;;;;;;567;TO;;;;;;;Titular;;;;;;;2908;2019-02-01;;;;
4770;851;Izalci Lucas;Izalci Lucas Ferreira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770;;sen.izalcilucas@senado.leg.br;33036049;1;Não;PSDB;DF;Não;Sim;;;;;;;;;;;;;;;;;;;;;
4770;851;Izalci Lucas;Izalci Lucas Ferreira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770;;sen.izalcilucas@senado.leg.br;33036050;2;Não;PSDB;DF;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;552;DF;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;552;DF;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;552;DF;;;;;;;Titular;;;;1º Suplente;5968;Luis Felipe Belmonte;;;;;;
;;;;;;;;;;;;;;;;;552;DF;;;;;;;Titular;;;;2º Suplente;5969;Andre Filipe;;;;;;
;;;;;;;;;;;;;;;;;552;DF;;;;;;;Titular;;;;;;;2909;2019-02-01;;;;
35;932;Jader Barbalho;Jader Fontenelle Barbalho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/35;http://jaderbarbalho.com.br/;sen.jaderbarbalho@senado.leg.br;33039831;2;Não;MDB;PA;Não;Não;;;;;;;;;;;;;;;;;;;;;
35;932;Jader Barbalho;Jader Fontenelle Barbalho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/35;http://jaderbarbalho.com.br/;sen.jaderbarbalho@senado.leg.br;33039827;3;Não;MDB;PA;Não;Não;;;;;;;;;;;;;;;;;;;;;
35;932;Jader Barbalho;Jader Fontenelle Barbalho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/35;http://jaderbarbalho.com.br/;sen.jaderbarbalho@senado.leg.br;33039832;4;Não;MDB;PA;Não;Não;;;;;;;;;;;;;;;;;;;;;
35;932;Jader Barbalho;Jader Fontenelle Barbalho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/35;http://jaderbarbalho.com.br/;sen.jaderbarbalho@senado.leg.br;33039828;5;Sim;MDB;PA;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;528;PA;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;528;PA;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;528;PA;;;;;;;Titular;;;;1º Suplente;5999;Helenilson Pontes;;;;;;
;;;;;;;;;;;;;;;;;528;PA;;;;;;;Titular;;;;2º Suplente;6000;Chamon;;;;;;
;;;;;;;;;;;;;;;;;528;PA;;;;;;;Titular;;;;;;;2910;2019-02-01;;;;
581;833;Jaques Wagner;Jaques Wagner;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/581;https://pt-br.facebook.com/jaqueswagneroficial/;sen.jaqueswagner@senado.leg.br;33036390;1;Não;PT;BA;Não;Não;;;;;;;;;;;;;;;;;;;;;
581;833;Jaques Wagner;Jaques Wagner;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/581;https://pt-br.facebook.com/jaqueswagneroficial/;sen.jaqueswagner@senado.leg.br;33036391;2;Não;PT;BA;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;555;BA;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;555;BA;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;555;BA;;;;;;;Titular;;;;1º Suplente;5554;Bebeto;;;;;;
;;;;;;;;;;;;;;;;;555;BA;;;;;;;Titular;;;;2º Suplente;6014;Luciana Leão Muniz;;;;;;
